,timestamp,InstanceId,metricName,Average,Maximum,Minimum
0,1609685760.0,i-0f5146fb6623c7e8a,CPUUtilization,0.46666666666666945,2.16666666666669,0.0
1,1609687860.0,i-0f5146fb6623c7e8a,CPUUtilization,0.033333333333341,0.166666666666705,0.0
2,1609689960.0,i-0f5146fb6623c7e8a,CPUUtilization,1.033333333333342,4.8333333333333,0.0
3,1609692060.0,i-0f5146fb6623c7e8a,CPUUtilization,1.4327868852459051,6.33333333333335,0.0
4,1609694160.0,i-0f5146fb6623c7e8a,CPUUtilization,1.4842178382884061,5.59322033898307,0.166666666666705
5,1609684560.0,i-0f5146fb6623c7e8a,CPUUtilization,0.0333333333333314,0.166666666666657,0.0
6,1609686660.0,i-0f5146fb6623c7e8a,CPUUtilization,0.033333333333341,0.166666666666705,0.0
7,1609688760.0,i-0f5146fb6623c7e8a,CPUUtilization,0.033333333333322,0.16666666666661,0.0
8,1609690860.0,i-0f5146fb6623c7e8a,CPUUtilization,0.133333333333326,0.166666666666705,0.0
9,1609692960.0,i-0f5146fb6623c7e8a,CPUUtilization,2.332786885245901,3.99999999999996,0.163934426229545
10,1609690260.0,i-0f5146fb6623c7e8a,CPUUtilization,0.16666666666666702,0.166666666666705,0.16666666666661
11,1609692360.0,i-0f5146fb6623c7e8a,CPUUtilization,3.2536723163841783,6.10169491525428,0.333333333333314
12,1609694460.0,i-0f5146fb6623c7e8a,CPUUtilization,0.335593220338983,0.677966101694877,0.166666666666705
13,1609684860.0,i-0f5146fb6623c7e8a,CPUUtilization,0.033333333333341,0.166666666666705,0.0
14,1609686960.0,i-0f5146fb6623c7e8a,CPUUtilization,0.033898305084734195,0.169491525423671,0.0
15,1609689060.0,i-0f5146fb6623c7e8a,CPUUtilization,0.033333333333341,0.166666666666705,0.0
16,1609691160.0,i-0f5146fb6623c7e8a,CPUUtilization,0.099453551912572,0.166666666666705,0.0
17,1609693260.0,i-0f5146fb6623c7e8a,CPUUtilization,1.5791145688617159,3.89830508474578,0.163934426229452
18,1609692660.0,i-0f5146fb6623c7e8a,CPUUtilization,0.2328054089098786,0.333333333333314,0.166666666666705
19,1609685160.0,i-0f5146fb6623c7e8a,CPUUtilization,0.0,0.0,0.0
20,1609687260.0,i-0f5146fb6623c7e8a,CPUUtilization,0.033333333333341,0.166666666666705,0.0
21,1609689360.0,i-0f5146fb6623c7e8a,CPUUtilization,0.0327868852458904,0.163934426229452,0.0
22,1609691460.0,i-0f5146fb6623c7e8a,CPUUtilization,0.131747767450348,0.169491525423671,0.0
23,1609693560.0,i-0f5146fb6623c7e8a,CPUUtilization,2.0918773733444516,6.49999999999996,0.0
24,1609686060.0,i-0f5146fb6623c7e8a,CPUUtilization,0.033333333333322,0.16666666666661,0.0
25,1609688160.0,i-0f5146fb6623c7e8a,CPUUtilization,0.0,0.0,0.0
26,1609685460.0,i-0f5146fb6623c7e8a,CPUUtilization,0.0333333333333314,0.166666666666657,0.0
27,1609687560.0,i-0f5146fb6623c7e8a,CPUUtilization,0.033333333333322,0.16666666666661,0.0
28,1609689660.0,i-0f5146fb6623c7e8a,CPUUtilization,0.032786885245908996,0.163934426229545,0.0
29,1609691760.0,i-0f5146fb6623c7e8a,CPUUtilization,2.6412892470130527,5.59322033898307,0.169491525423671
30,1609693860.0,i-0f5146fb6623c7e8a,CPUUtilization,0.7902009817542018,3.27868852459016,0.16666666666661
